source	target	similarity
otu_727	otu_754	0.8947368421052632
otu_108	otu_801	0.8947368421052632
otu_108	otu_727	0.8947368421052632
otu_711	otu_727	0.8947368421052632
otu_256	otu_352	0.8947368421052632
otu_256	otu_621	0.8947368421052632
otu_256	otu_504	0.8947368421052632
otu_256	otu_415	0.8947368421052632
otu_256	otu_406	0.8947368421052632
otu_145	otu_358	0.8947368421052632
otu_99	otu_507	0.8947368421052632
otu_22	otu_207	0.8947368421052632
otu_621	otu_864	0.8947368421052632
otu_145	otu_507	0.8947368421052632
otu_621	otu_754	0.8947368421052632
otu_145	otu_329	0.8947368421052632
otu_358	otu_848	0.8888888888888888
otu_116	otu_574	0.8888888888888888
otu_745	otu_773	0.8888888888888888
otu_744	otu_898	0.8888888888888888
otu_352	otu_504	0.8888888888888888
otu_116	otu_802	0.8888888888888888
otu_116	otu_764	0.8888888888888888
otu_358	otu_617	0.8888888888888888
otu_767	otu_886	0.8888888888888888
otu_352	otu_406	0.8888888888888888
otu_415	otu_504	0.8888888888888888
otu_329	otu_506	0.8888888888888888
otu_344	otu_358	0.8888888888888888
otu_204	otu_617	0.8888888888888888
otu_204	otu_731	0.8888888888888888
otu_406	otu_504	0.8888888888888888
otu_406	otu_621	0.8888888888888888
otu_329	otu_776	0.8888888888888888
otu_329	otu_731	0.8888888888888888
otu_204	otu_762	0.8888888888888888
otu_204	otu_776	0.8888888888888888
otu_207	otu_415	0.8888888888888888
otu_204	otu_728	0.8888888888888888
otu_329	otu_762	0.8888888888888888
otu_207	otu_352	0.8888888888888888
otu_344	otu_507	0.8888888888888888
otu_207	otu_504	0.8888888888888888
otu_352	otu_415	0.8888888888888888
otu_207	otu_621	0.8888888888888888
otu_87	otu_190	0.8888888888888888
otu_87	otu_145	0.8888888888888888
otu_207	otu_406	0.8888888888888888
otu_87	otu_204	0.8888888888888888
otu_87	otu_673	0.8888888888888888
otu_204	otu_297	0.8888888888888888
otu_190	otu_728	0.8888888888888888
otu_190	otu_731	0.8888888888888888
otu_190	otu_776	0.8888888888888888
otu_190	otu_762	0.8888888888888888
otu_31	otu_504	0.8888888888888888
otu_358	otu_862	0.8888888888888888
otu_508	otu_802	0.8888888888888888
otu_507	otu_883	0.8888888888888888
otu_507	otu_884	0.8888888888888888
otu_508	otu_533	0.8888888888888888
otu_87	otu_358	0.8888888888888888
otu_80	otu_802	0.8888888888888888
otu_504	otu_727	0.8888888888888888
otu_504	otu_621	0.8888888888888888
otu_68	otu_506	0.8888888888888888
otu_415	otu_621	0.8888888888888888
otu_90	otu_898	0.8888888888888888
otu_447	otu_896	0.8888888888888888
otu_489	otu_574	0.8888888888888888
otu_489	otu_764	0.8888888888888888
otu_489	otu_802	0.8888888888888888
otu_489	otu_533	0.8888888888888888
otu_504	otu_801	0.8888888888888888
otu_80	otu_533	0.8888888888888888
otu_80	otu_574	0.8888888888888888
otu_80	otu_764	0.8888888888888888
otu_508	otu_764	0.8888888888888888
otu_190	otu_297	0.8888888888888888
otu_190	otu_617	0.8888888888888888
otu_90	otu_545	0.8888888888888888
otu_512	otu_745	0.8888888888888888
otu_297	otu_673	0.8888888888888888
otu_68	otu_762	0.8888888888888888
otu_68	otu_776	0.8888888888888888
otu_68	otu_731	0.8888888888888888
otu_145	otu_297	0.8888888888888888
otu_237	otu_545	0.8888888888888888
otu_99	otu_883	0.8888888888888888
otu_545	otu_670	0.8888888888888888
otu_558	otu_721	0.8888888888888888
otu_558	otu_703	0.8888888888888888
otu_508	otu_574	0.8888888888888888
otu_507	otu_718	0.8888888888888888
otu_99	otu_718	0.8888888888888888
otu_145	otu_617	0.8888888888888888
otu_145	otu_762	0.8888888888888888
otu_507	otu_862	0.8888888888888888
otu_507	otu_713	0.8888888888888888
otu_507	otu_848	0.8888888888888888
otu_145	otu_776	0.8888888888888888
otu_145	otu_731	0.8888888888888888
otu_145	otu_728	0.8888888888888888
otu_545	otu_744	0.8888888888888888
otu_237	otu_898	0.8888888888888888
otu_617	otu_673	0.8888888888888888
otu_670	otu_898	0.8888888888888888
otu_673	otu_762	0.8888888888888888
otu_673	otu_776	0.8888888888888888
otu_673	otu_728	0.8888888888888888
otu_673	otu_731	0.8888888888888888
otu_116	otu_533	0.8888888888888888
otu_113	otu_678	0.8888888888888888
otu_3	otu_207	0.8823529411764706
otu_848	otu_883	0.8823529411764706
otu_3	otu_621	0.8823529411764706
otu_862	otu_884	0.8823529411764706
otu_3	otu_406	0.8823529411764706
otu_3	otu_415	0.8823529411764706
otu_862	otu_883	0.8823529411764706
otu_3	otu_352	0.8823529411764706
otu_883	otu_884	0.8823529411764706
otu_848	otu_884	0.8823529411764706
otu_745	otu_855	0.8823529411764706
otu_718	otu_848	0.8823529411764706
otu_5	otu_745	0.8823529411764706
otu_621	otu_734	0.8823529411764706
otu_621	otu_735	0.8823529411764706
otu_621	otu_642	0.8823529411764706
otu_239	otu_621	0.8823529411764706
otu_239	otu_406	0.8823529411764706
otu_239	otu_415	0.8823529411764706
otu_239	otu_352	0.8823529411764706
otu_629	otu_745	0.8823529411764706
otu_543	otu_745	0.8823529411764706
otu_520	otu_727	0.8823529411764706
otu_512	otu_855	0.8823529411764706
otu_512	otu_761	0.8823529411764706
otu_512	otu_808	0.8823529411764706
otu_512	otu_730	0.8823529411764706
otu_520	otu_801	0.8823529411764706
otu_506	otu_762	0.8823529411764706
otu_506	otu_731	0.8823529411764706
otu_31	otu_730	0.8823529411764706
otu_415	otu_734	0.8823529411764706
otu_415	otu_735	0.8823529411764706
otu_31	otu_66	0.8823529411764706
otu_31	otu_761	0.8823529411764706
otu_31	otu_520	0.8823529411764706
otu_87	otu_776	0.8823529411764706
otu_87	otu_728	0.8823529411764706
otu_87	otu_617	0.8823529411764706
otu_31	otu_875	0.8823529411764706
otu_31	otu_808	0.8823529411764706
otu_406	otu_734	0.8823529411764706
otu_406	otu_735	0.8823529411764706
otu_352	otu_734	0.8823529411764706
otu_207	otu_734	0.8823529411764706
otu_230	otu_621	0.8823529411764706
otu_230	otu_352	0.8823529411764706
otu_87	otu_297	0.8823529411764706
otu_297	otu_776	0.8823529411764706
otu_297	otu_728	0.8823529411764706
otu_297	otu_617	0.8823529411764706
otu_352	otu_642	0.8823529411764706
otu_344	otu_884	0.8823529411764706
otu_344	otu_883	0.8823529411764706
otu_344	otu_713	0.8823529411764706
otu_344	otu_718	0.8823529411764706
otu_66	otu_727	0.8823529411764706
otu_66	otu_512	0.8823529411764706
otu_352	otu_735	0.8823529411764706
otu_66	otu_773	0.8823529411764706
otu_66	otu_801	0.8823529411764706
otu_319	otu_621	0.8823529411764706
otu_319	otu_415	0.8823529411764706
otu_319	otu_352	0.8823529411764706
otu_319	otu_406	0.8823529411764706
otu_718	otu_884	0.8823529411764706
otu_761	otu_773	0.8823529411764706
otu_761	otu_801	0.8823529411764706
otu_801	otu_875	0.8823529411764706
otu_728	otu_762	0.8823529411764706
otu_728	otu_776	0.8823529411764706
otu_727	otu_875	0.8823529411764706
otu_728	otu_731	0.8823529411764706
otu_727	otu_808	0.8823529411764706
otu_727	otu_761	0.8823529411764706
otu_727	otu_730	0.8823529411764706
otu_731	otu_776	0.8823529411764706
otu_730	otu_773	0.8823529411764706
otu_730	otu_801	0.8823529411764706
otu_718	otu_862	0.8823529411764706
otu_713	otu_862	0.8823529411764706
otu_713	otu_883	0.8823529411764706
otu_713	otu_884	0.8823529411764706
