source	target	Spearman	P_value	FDR
otu_138	otu_402	0.9157263705432884	1.4950011895109583e-8	4.998099259800881e-6
otu_284	otu_640	0.9155327752060552	1.525093917820186e-8	5.026420005450739e-6
otu_667	otu_87	0.9155294114304047	1.525621451392567e-8	5.026420005450739e-6
otu_777	otu_783	0.9154903633375857	1.531757232164921e-8	5.026420005450739e-6
otu_881	otu_894	0.9154898393315473	1.5318397217356505e-8	5.026420005450739e-6
otu_717	otu_805	0.9142856625018627	1.7320578971080636e-8	5.65720440163277e-6
otu_80	otu_802	0.9140782172566664	1.768782054156759e-8	5.750651232587819e-6
otu_250	otu_891	0.9138298396228771	1.8136528723289302e-8	5.8696100903737555e-6
otu_482	otu_640	0.9137789526563944	1.822968576092876e-8	5.872941854507213e-6
otu_267	otu_67	0.913717355809759	1.8343012220256583e-8	5.88271191910817e-6
otu_154	otu_346	0.9135135135135135	1.872247867851229e-8	5.977362156838906e-6
otu_237	otu_898	0.9131492759789664	1.941776606173562e-8	6.129213250464729e-6
otu_764	otu_80	0.9131492759789664	1.941776606173562e-8	6.129213250464729e-6
otu_201	otu_559	0.9131255126203636	1.9463907152683646e-8	6.129213250464729e-6
otu_482	otu_506	0.9130843692256423	1.954402328863125e-8	6.129213250464729e-6
otu_337	otu_545	0.912794262163637	2.0117217669479714e-8	6.281180262299754e-6
otu_154	otu_80	0.9124749451812354	2.0765185571036682e-8	6.455058300582438e-6
otu_284	otu_763	0.912163749354331	2.141427746238378e-8	6.6210771920454e-6
otu_280	otu_558	0.9121298344968966	2.1486084911259695e-8	6.6210771920454e-6
otu_139	otu_508	0.911636996666277	2.2553743761477563e-8	6.900517162788944e-6
otu_154	otu_827	0.9116216990758128	2.2587617554137296e-8	6.900517162788944e-6
otu_344	otu_358	0.9112925377874007	2.3327417775220738e-8	7.095940181272725e-6
otu_759	otu_763	0.9105212736807923	2.514497143835115e-8	7.616132460105026e-6
otu_721	otu_87	0.9104018666674398	2.5437226103264265e-8	7.619209678181226e-6
otu_125	otu_677	0.9102984986494026	2.5692633798257702e-8	7.619209678181226e-6
otu_175	otu_198	0.9102984986494026	2.5692633798257702e-8	7.619209678181226e-6
otu_245	otu_559	0.9102984986494026	2.5692633798257702e-8	7.619209678181226e-6
otu_270	otu_677	0.9102984986494026	2.5692633798257702e-8	7.619209678181226e-6
otu_731	otu_754	0.9101951598319696	2.5950222415360713e-8	7.66353318296294e-6
otu_263	otu_574	0.9101382846399164	2.609296023692309e-8	7.673712239635523e-6
otu_531	otu_565	0.909705562351306	2.7201765728790406e-8	7.966745238817144e-6
otu_352	otu_356	0.9096395857981264	2.7374415623171444e-8	7.984317208674484e-6
otu_66	otu_862	0.9095122780115754	2.771028628778538e-8	8.038982151023557e-6
otu_2	otu_765	0.9094827586206896	2.7788682022134026e-8	8.038982151023557e-6
otu_31	otu_493	0.9094126699566525	2.7975600946916757e-8	8.060157287453951e-6
otu_489	otu_869	0.90927675055607	2.8341238689222337e-8	8.132443859665273e-6
otu_580	otu_97	0.9092127151318422	2.8514953065439386e-8	8.14929763494388e-6
otu_31	otu_66	0.9089697035435744	2.9182745331368665e-8	8.306651638980263e-6
otu_493	otu_66	0.9087569286624699	2.977870550147088e-8	8.442382124489001e-6
otu_267	otu_330	0.908225906669208	3.131299330938475e-8	8.841990891617345e-6
otu_711	otu_87	0.9079309927677109	3.219477395788317e-8	9.054907932694158e-6
otu_116	otu_139	0.9077741280363351	3.267263348760707e-8	9.152986446907663e-6
otu_764	otu_869	0.9076551276376852	3.3039297075987406e-8	9.219264643927887e-6
otu_108	otu_642	0.9076018025374543	3.3204773153272527e-8	9.226904231262899e-6
otu_125	otu_198	0.9074714846784417	3.3612240990521514e-8	9.226904231262899e-6
otu_198	otu_270	0.9074714846784417	3.3612240990521514e-8	9.226904231262899e-6
otu_3	otu_352	0.9074522249066068	3.3672832522313456e-8	9.226904231262899e-6
otu_224	otu_763	0.9074380165289256	3.3717594050131083e-8	9.226904231262899e-6
