source	target	Pearson	P_value	FDR
otu_622	otu_777	0.9868237105311809	1.1102230246251565e-15	2.017645310085451e-13
otu_217	otu_777	0.9867632365408234	1.1102230246251565e-15	2.017645310085451e-13
otu_119	otu_192	0.9867532350036584	1.1102230246251565e-15	2.017645310085451e-13
otu_174	otu_272	0.9866103535851443	1.3322676295501878e-15	2.3489005102487345e-13
otu_168	otu_172	0.9866049728677407	1.3322676295501878e-15	2.3489005102487345e-13
otu_532	otu_91	0.9866031345612961	1.3322676295501878e-15	2.3489005102487345e-13
otu_172	otu_814	0.9865956014507578	1.3322676295501878e-15	2.3489005102487345e-13
otu_217	otu_900	0.9865504206380109	1.3322676295501878e-15	2.3489005102487345e-13
otu_560	otu_814	0.986512441339051	1.3322676295501878e-15	2.3489005102487345e-13
otu_386	otu_900	0.9864880019587157	1.3322676295501878e-15	2.3489005102487345e-13
otu_168	otu_272	0.9864826005511355	1.3322676295501878e-15	2.3489005102487345e-13
otu_330	otu_826	0.986471639572724	1.3322676295501878e-15	2.3489005102487345e-13
otu_128	otu_258	0.9864267879739439	1.3322676295501878e-15	2.3489005102487345e-13
otu_181	otu_69	0.9864127325410399	1.3322676295501878e-15	2.3489005102487345e-13
otu_523	otu_899	0.9864017874855294	1.3322676295501878e-15	2.3489005102487345e-13
otu_305	otu_618	0.9862242886085925	1.7763568394002505e-15	3.055851149255635e-13
otu_40	otu_814	0.9861980044992683	1.7763568394002505e-15	3.055851149255635e-13
otu_275	otu_397	0.9861485354172687	1.7763568394002505e-15	3.055851149255635e-13
otu_287	otu_299	0.9860994448803119	1.7763568394002505e-15	3.055851149255635e-13
otu_536	otu_573	0.9860337963737031	1.7763568394002505e-15	3.055851149255635e-13
otu_119	otu_618	0.9860273659049845	1.7763568394002505e-15	3.055851149255635e-13
otu_589	otu_898	0.9860219110905629	1.7763568394002505e-15	3.055851149255635e-13
otu_181	otu_275	0.985999120943576	1.7763568394002505e-15	3.055851149255635e-13
otu_168	otu_319	0.9859990331750256	1.7763568394002505e-15	3.055851149255635e-13
otu_181	otu_532	0.9859493006498894	1.7763568394002505e-15	3.055851149255635e-13
otu_717	otu_818	0.9858791838213677	1.9984014443252818e-15	3.421224656231852e-13
otu_148	otu_783	0.9858638316935977	1.9984014443252818e-15	3.421224656231852e-13
otu_192	otu_258	0.9857792477663091	2.220446049250313e-15	3.76498407145132e-13
otu_265	otu_900	0.9856973020244416	2.220446049250313e-15	3.76498407145132e-13
