source	target	Rho
otu_734	otu_731	0.852041989683424
otu_489	otu_477	0.852040313326098
otu_885	otu_742	0.851743661669839
otu_748	otu_691	0.851739080999126
otu_561	otu_346	0.851624981884431
otu_677	otu_175	0.851599286605975
otu_900	otu_409	0.851531203542727
otu_184	otu_10	0.851067466631561
otu_827	otu_115	0.850928809181782
otu_869	otu_827	0.850870136649809
otu_565	otu_29	0.85079257495789
otu_245	otu_198	0.85062180947957
otu_808	otu_718	0.850503871444158
otu_744	otu_160	0.850429015075768
otu_539	otu_462	0.850391204292104
otu_802	otu_263	0.850209435736568
otu_900	otu_444	0.849876628636809
otu_869	otu_764	0.849205783611132
otu_894	otu_337	0.8491909826017
otu_561	otu_92	0.849054068993293
otu_764	otu_116	0.848971300170072
otu_677	otu_245	0.848906448986198
otu_734	otu_288	0.848886509212717
otu_508	otu_184	0.848052116870661
otu_477	otu_80	0.848030409478362
otu_533	otu_312	0.847977953262003
otu_311	otu_250	0.847883215353092
otu_397	otu_172	0.847852263721415
otu_754	otu_711	0.847632199709417
otu_545	otu_299	0.847508572558669
otu_258	otu_38	0.847485840892044
otu_299	otu_237	0.847439343504876
otu_754	otu_108	0.846978185250866
otu_261	otu_206	0.846433632791665
otu_894	otu_430	0.846092849030748
otu_748	otu_510	0.846067939508805
otu_802	otu_139	0.845907402437439
otu_748	otu_519	0.845867032070747
otu_894	otu_160	0.845748446124647
otu_723	otu_201	0.845560684707919
otu_566	otu_435	0.84503420879637
otu_883	otu_808	0.845015864096114
otu_896	otu_609	0.844958877782025
otu_184	otu_80	0.844872898968428
otu_261	otu_124	0.844450269809771
otu_357	otu_10	0.843765874196555
otu_154	otu_4	0.843738075792776
otu_894	otu_881	0.843665071852759
otu_160	otu_90	0.843558363471305
otu_190	otu_145	0.843458792767138
otu_730	otu_718	0.843440270978931
otu_860	otu_12	0.843370657585372
otu_670	otu_160	0.843315070390948
otu_744	otu_267	0.843249605281447
otu_744	otu_299	0.84300612838877
otu_898	otu_276	0.842895403575272
otu_397	otu_38	0.842396468715937
otu_506	otu_207	0.842191915651947
otu_742	otu_723	0.841783937093569
otu_184	otu_116	0.841675548413009
otu_894	otu_482	0.841128425020482
otu_782	otu_691	0.84109969640592
otu_759	otu_284	0.840926612507175
otu_520	otu_87	0.839970330502545
otu_397	otu_383	0.839773109260432
otu_643	otu_314	0.839605420433601
otu_193	otu_38	0.839387239543683
otu_863	otu_860	0.839072912954785
otu_482	otu_337	0.83905046139398
otu_574	otu_477	0.83903274302657
otu_731	otu_3	0.838970490735296
otu_314	otu_115	0.838822351138011
otu_661	otu_397	0.838792120988274
otu_698	otu_447	0.838685015504331
otu_263	otu_116	0.838627188015711
otu_862	otu_808	0.838155261250558
otu_580	otu_97	0.8381328915055
otu_827	otu_346	0.838002110752789
otu_396	otu_91	0.83798789477213
otu_608	otu_396	0.837656653661244
otu_489	otu_184	0.837471132169967
otu_761	otu_718	0.837412427383252
otu_782	otu_519	0.837300655484005
otu_482	otu_160	0.837286559548577
otu_883	otu_730	0.837065969655756
otu_862	otu_66	0.836789670120019
otu_432	otu_157	0.836753699455276
otu_850	otu_432	0.836713223296067
otu_827	otu_92	0.836633916676665
otu_625	otu_438	0.836433203937192
otu_508	otu_139	0.836233005461333
otu_561	otu_306	0.836074221446582
otu_862	otu_512	0.836021124420419
otu_881	otu_482	0.835932978005055
otu_396	otu_131	0.834537324337113
otu_881	otu_759	0.834359996698196
otu_237	otu_14	0.834356496245659
otu_759	otu_160	0.834271487139115
otu_346	otu_314	0.834049341128835
otu_894	otu_759	0.833718630410906
otu_727	otu_617	0.833663908486602
otu_681	otu_603	0.833439383366362
otu_759	otu_337	0.8334025123785
otu_883	otu_761	0.833215225085573
otu_848	otu_808	0.833166029074015
otu_862	otu_730	0.832798231547497
otu_561	otu_115	0.832537479296119
otu_261	otu_209	0.832524927719869
otu_482	otu_430	0.832522436469089
otu_759	otu_39	0.832431069770567
otu_869	otu_183	0.83216552483817
otu_314	otu_306	0.832096812767524
otu_869	otu_574	0.832062233243144
otu_783	otu_777	0.832059675266075
otu_754	otu_138	0.832038946533695
otu_759	otu_430	0.831917104119973
otu_462	otu_343	0.831866629659266
otu_869	otu_802	0.831816419118779
otu_224	otu_202	0.831691325668788
otu_482	otu_39	0.831589635811084
otu_734	otu_506	0.831326132479667
otu_764	otu_191	0.831252944048084
otu_561	otu_327	0.831222027642129
otu_802	otu_764	0.831024561308181
otu_139	otu_116	0.830927819737404
otu_520	otu_297	0.830666528984923
otu_678	otu_430	0.830316246893255
otu_701	otu_432	0.830299736181703
otu_482	otu_284	0.830236700001182
otu_782	otu_510	0.830021751498353
otu_678	otu_113	0.829936752996766
otu_802	otu_191	0.829900657612427
otu_447	otu_330	0.829835897404386
otu_848	otu_512	0.82980141126113
otu_794	otu_737	0.829736628333433
otu_762	otu_406	0.829362270430762
otu_545	otu_276	0.829108341768715
otu_848	otu_66	0.829095245415958
otu_723	otu_175	0.829055278659598
otu_295	otu_263	0.829052116509672
otu_382	otu_22	0.828974238152343
otu_311	otu_305	0.828876009206866
otu_898	otu_330	0.828851326455984
otu_847	otu_71	0.828756572773561
otu_497	otu_245	0.828668132001777
otu_245	otu_72	0.828611715484976
otu_801	otu_617	0.828549806494752
otu_894	otu_834	0.828427797510522
otu_827	otu_561	0.828426765401801
otu_862	otu_773	0.828328716116601
otu_871	otu_388	0.828074845794313
otu_318	otu_90	0.827860013597263
otu_531	otu_202	0.827778584011656
otu_322	otu_258	0.827582486565333
otu_444	otu_29	0.827112849156109
otu_533	otu_54	0.826956168307909
otu_653	otu_108	0.826841837323874
