OTU	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
otu_95	0	0	0	0.02925397	0	0	0	0	0	0	0.023370786	0	0.120423496	0.005595422	0	0	0	0	0	0
otu_96	0.030819757	0.013338319	0.012558069	0.01675175	0.00751678	0	0	0.003951921	0.018695125	0	0.010587576	0.008987783	0	0	0.046265446	0.023970224	0	0	0	0
otu_97	0	0	0	0.01891499	0	0	0	0	0	0	0.007220116	0	0.36580536	0.028974555	0	0	0	0	0.01656405	0.012477604
otu_98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu_99	0.008978884	0.048663694	0.008544335	0	0.02665112	0.09943523	0.027813489	0.004274293	0	0.115345515	0.008585726	0.02747098	0.017603615	0.026745895	0.026757393	0.031332202	0.010986735	0.027416866	0.028165901	0.028582247
otu_100	0.84428775	0	0.005396079	0	0	0.004414713	0	0	0	0	0	0	0.05737951	0.014488596	0	0	0	0	0.004650837	0.010062942
otu_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu_102	0.004330926	0	0	0.013575411	0.013209236	0	0	0.005943595	0.010675904	0	0.006588657	0	0.055825707	0.005229896	0.01371272	0	0	0.005401218	0	0.003703122
otu_103	0	0.13277389	0.05630045	0.033945397	0.018904578	0	0	0	0	0	0.019577652	0	0.117572054	0	0.10866179	0	0	0	0	0
otu_104	0	0	0	0	0.013360499	0	0	0.005955788	0.011822839	0	0.005088065	0	0	0	0	0	0	0	0	0
otu_105	0	0	0	0	0	0	0	0.084223	0	0	0	0	0	0.008159264	0	0	0	0	0	0
otu_106	0	0	0	0	0.03945724	0	0	0.045046214	0	0	0	0.006660426	0	0	0	0	0.043920115	0.014458226	0	0
otu_107	0	0.009928165	0.34336987	0.029213695	0.004450772	0	0	0	0.061643384	0	0.02466834	0	0.20050985	0.006487093	0	0	0	0.006566744	0.00531459	0.018268162
otu_108	0.12174696	0.18077506	0.020397466	0.019417604	0.15697667	0.04891161	0.01417579	0.11526947	0.057334933	0.045115996	0.014552863	0.007105133	0.016413588	0.027185341	0.058182854	0	0.004867167	0.030703384	0.019382017	0.02070577
otu_109	0	0	0	0	0.021440562	0	0	0.004617781	0	0	0	0	0	0.007860588	0.009310298	0	0.010461939	0	0.005211542	0.005587948
otu_110	0	0	0	0	0	0	0.043899857	0.004204503	0	0	0	0.005560317	0	0	0	0	0.005218054	0.011821434	0.017207501	0.007626226
otu_111	0.004124322	0	0.009351129	0	0	0	0	0.002337358	0	0	0	0	0.012022418	0	0	0	0	0	0	0
otu_112	0	0	0.015902692	0	0.033584353	0	0	0.061694343	0	0	0	0	0.010871488	0.009703813	0	0	0.013927961	0	0.010585108	0.017459806
otu_113	0	0.055048455	0.25108448	0.020272685	0	0.006791142	0	0	0.01789757	0	0.011679948	0	1.8723258	0.5532159	0.05181225	0	0	0	0	0
otu_114	0	0.011935015	0	0	0	0.007753067	0	0	0	0.010766621	0	0	0	0	0	0	0	0	0	0
otu_115	0	0.021835357	0	0	0.029000644	0.039789893	0.09782185	0.11259478	0	0.057727624	0	0.07397617	0	0.029946787	0.013619719	0.009904177	0.04671392	0.10209869	0.041587755	0.031939644
otu_116	0	0	0	0	0.009873326	0	0.11792866	0.540369	0	0	0	0.03321493	0	0.029902555	0	0	0.08123775	0.10141989	0.026604798	0.023201806
otu_117	0	0	0.020978073	0	0.040875435	0	0	0.012290414	0.008509981	0	0	0.003789766	0	0	0	0	0.005966741	0.008743501	0	0
otu_118	0	0.031543933	0.15517476	0.2708816	0.039902337	0.013678147	0	0.003483926	0.25467676	0	0.13405749	0.006399512	0.24136512	0	0.078985386	0	0	0	0	0
otu_119	0	0	0.007321501	0	0	0	0	0.104696155	0	0	0	0	0	0	0	0	0	0	0	0
otu_120	0	0	0.012741275	0	0.014328139	0	0.006907828	0.07977598	0	0	0	0	0	0.005844327	0	0	0.007158645	0.010417384	0.005634163	0.005617216
otu_121	0	0	0	0.028275214	0.007192231	0.07689638	0.097553656	0.010827061	0	0.06455335	0.029659279	0.15923457	0	0.03494979	0	0.021367945	0.027275097	0.057289016	0.007053794	0.008046868
otu_122	0.032607198	0.089085735	0.035504952	0.006129514	0.097778395	0.035328537	0	0.04270788	0.020135446	0.035843376	0.003578887	0.003230935	0.006429835	0.010289408	0.038033515	0.006151197	0	0.010224053	0.009407389	0.007452104
otu_123	0	0	0	0.022421014	0	0	0	0	0	0	0.01125689	0	0.06431418	0	0	0	0	0	0	0
otu_124	0.19249287	0.1252684	0.03652035	0.042189483	0.0625736	0.005605039	0	0	0.08666088	0	0.017847303	0	0.27151525	0.08590341	0.09970431	0	0	0.008229957	0.007132831	0
otu_125	0	0	0	0	0	0	0	0	0	0	0	0	0.11802197	0.031820383	0	0	0	0	0.041701533	0.03754802
otu_126	0	0.005226228	0	0	0	0	0.015303457	0.03213572	0	0	0	0	0.005421066	0.013958852	0	0	0.006406955	0.018563475	0.03384486	0.02448871
otu_127	0.009786753	0.11468972	0.16864172	0	0.011600218	0.028772864	0	0.002822608	0	0.020316724	0	0	0.045665897	0.011511104	0.03385745	0	0	0	0.012993769	0.016111936
otu_128	0	0	0.013204526	0	0	0	0.005299885	0.11148809	0	0	0	0	0	0.012744079	0	0	0	0.009752958	0.004848789	0
otu_129	0	0	0.004352878	0.00641579	0	0	0	0	0	0	0	0	0.022192402	0	0	0	0	0	0	0
